#this is a test file, it should be tab-delimited
#the first three/four columns should be "Chr, Locus, cM, [Mb]" (case sensitive)
#please save as Unix format text file.
#comment line always start with a '#'
#type riset or intercross
@type:riset
#@type:intercross
@name:BXD
#abbreviation of maternal or paternal parents
@mat:B6
@pat:D
#heterozygous , optional, default is "H"
@het:H
#Unknown , optional, default is "U"
@unk:U
Chr	Locus	cM	BXD1	BXD2	BXD5	BXD6	BXD8	BXD9	BXD11	BXD12	BXD13	BXD14	BXD15	BXD16	BXD18	BXD19	BXD20	BXD21	BXD22	BXD23	BXD24	BXD25	BXD27	BXD28	BXD29	BXD30	BXD31	BXD32	BXD33	BXD34	BXD35	BXD36	BXD37	BXD38	BXD39	BXD40	BXD42
1	D1Mit145	89	B6	B6	D	B6	B6	D	D	B6	D	B6	D	B6	B6	B6	B6	B6	D	D	D	D	D	D	D	D	B6	D	D	D	B6	B6	D	B6	D	B6	B6
1	D1Mit16	89.5	B6	B6	D	B6	B6	D	D	B6	D	B6	D	B6	B6	B6	B6	B6	D	D	D	D	D	D	D	D	B6	D	D	D	B6	B6	D	B6	D	B6	B6
1	D1Mit113	93.2	B6	D	D	B6	D	D	D	B6	B6	B6	B6	B6	B6	B6	B6	B6	D	B6	D	D	D	D	B6	D	B6	D	B6	D	B6	B6	D	B6	D	B6	B6
1	D1Mit150	100.5	B6	D	D	B6	D	D	D	B6	B6	B6	B6	B6	B6	B6	B6	B6	D	B6	D	D	D	D	D	D	B6	D	B6	D	B6	B6	D	B6	D	B6	B6
1	D1Mit426	101	B6	B6	D	B6	D	D	D	B6	B6	B6	B6	B6	B6	B6	B6	B6	D	B6	D	D	D	D	D	D	B6	D	B6	D	B6	B6	D	D	D	B6	B6
1	D1Mit291	101.5	B6	B6	D	B6	D	D	B6	B6	D	B6	B6	B6	B6	B6	B6	D	D	D	D	D	D	B6	D	B6	B6	D	B6	D	B6	B6	D	D	D	B6	B6
1	D1Mit361	101.9	B6	B6	D	B6	D	D	B6	B6	D	B6	B6	B6	B6	B6	B6	D	D	D	D	B6	D	B6	D	B6	B6	D	B6	B6	B6	B6	D	D	D	B6	B6
1	D1Mit511	109.6	B6	B6	D	D	D	D	B6	B6	D	D	D	B6	B6	B6	D	D	D	D	D	B6	D	B6	D	B6	B6	D	B6	B6	B6	B6	D	D	D	B6	D
1	D1Mit155	112	B6	B6	D	D	D	D	B6	B6	B6	D	D	B6	B6	B6	D	D	D	D	D	B6	D	B6	D	B6	B6	D	B6	B6	B6	B6	D	D	D	B6	D
2	D2Mit5	6.5	B6	B6	B6	B6	B6	D	B6	D	D	D	B6	B6	D	B6	B6	D	B6	B6	B6	D	B6	B6	D	D	D	D	B6	D	D	D	B6	B6	B6	D	D
2	D2Mit80	9	B6	B6	D	B6	D	D	B6	D	D	D	B6	B6	D	B6	B6	D	D	B6	D	D	B6	B6	B6	D	D	D	D	B6	D	B6	D	B6	B6	D	D
2	D2Mit293	13	D	B6	D	B6	D	D	B6	D	D	D	B6	B6	B6	B6	B6	D	D	B6	D	D	B6	B6	B6	D	D	D	D	B6	B6	B6	D	B6	B6	D	D
2	D2Mit82	16	D	B6	D	B6	D	D	B6	D	D	D	B6	D	B6	B6	B6	D	D	B6	D	D	B6	B6	B6	D	D	D	B6	B6	B6	B6	D	B6	B6	D	D
2	D2Mit367	27	B6	B6	D	B6	B6	D	B6	B6	D	D	B6	D	B6	D	B6	D	D	D	D	D	B6	B6	B6	D	D	D	B6	D	B6	D	D	B6	B6	D	D
2	D2Mit241	31	D	B6	D	B6	B6	D	B6	B6	D	D	B6	B6	B6	D	D	D	B6	D	D	D	B6	B6	B6	D	D	D	B6	B6	B6	D	D	B6	B6	D	D
2	D2Mit156	32	D	B6	D	B6	B6	D	B6	B6	D	D	B6	B6	B6	D	D	D	B6	D	D	B6	B6	B6	B6	D	D	D	B6	B6	B6	D	B6	B6	B6	D	D
2	D2Mit205	37.5	D	D	D	B6	B6	D	D	B6	D	D	B6	B6	B6	D	D	D	B6	D	B6	B6	B6	B6	B6	D	D	B6	B6	B6	B6	D	B6	B6	B6	D	D
2	D2Mit37	45	D	D	D	B6	B6	B6	D	B6	D	D	B6	D	D	D	D	D	B6	B6	D	B6	B6	B6	B6	D	D	U	B6	B6	B6	D	D	D	B6	D	D
2	D2Mit14	48.5	B6	B6	D	B6	B6	D	D	D	D	D	B6	D	D	D	D	D	B6	D	D	B6	B6	B6	D	D	B6	D	B6	B6	B6	D	D	D	D	D	D
2	D2Mit12	53	B6	D	D	B6	D	B6	D	B6	D	D	B6	D	D	D	D	D	B6	D	D	B6	D	D	D	D	B6	D	B6	B6	B6	D	D	D	B6	D	D
2	D2Mit102	54.5	B6	B6	B6	B6	D	B6	D	D	B6	B6	B6	D	B6	D	B6	D	B6	D	D	B6	D	D	D	D	B6	D	B6	B6	B6	D	D	D	B6	D	D
2	D2Mit255	69.1	B6	B6	B6	B6	D	B6	D	D	B6	B6	D	D	D	D	D	D	B6	D	D	B6	D	D	D	D	B6	B6	B6	B6	B6	D	D	D	B6	D	D
2	D2Mit223	71	D	B6	B6	B6	B6	D	D	D	B6	B6	D	D	D	D	D	D	B6	D	D	D	D	B6	D	D	D	D	B6	B6	B6	D	D	D	B6	D	D
2	D2Mit340	71.6	D	D	B6	D	D	B6	D	D	B6	B6	D	D	D	D	D	D	B6	D	D	D	D	B6	D	D	D	D	B6	B6	B6	D	D	D	B6	D	D
2	D2Mit493	73	D	D	B6	D	B6	D	D	D	B6	B6	B6	D	D	D	D	D	B6	D	D	D	D	B6	D	D	D	D	B6	B6	B6	D	D	D	B6	D	D
2	D2Mit50	80	D	D	B6	D	B6	D	B6	D	D	B6	B6	B6	D	B6	D	D	B6	D	B6	D	D	B6	B6	D	D	D	B6	B6	B6	D	D	D	B6	D	D
2	D2Mit147	91	D	D	B6	B6	B6	D	B6	D	D	B6	B6	B6	D	B6	D	D	B6	D	B6	B6	D	D	B6	D	D	D	B6	B6	B6	B6	B6	D	B6	D	B6
2	D2Mit266	109	D	D	D	B6	B6	D	D	D	D	B6	U	B6	D	B6	D	D	B6	D	B6	B6	D	D	B6	B6	D	D	B6	B6	B6	B6	B6	B6	B6	D	D
3	D3Mit221	2.4	D	D	D	B6	D	B6	D	D	D	D	B6	B6	D	D	B6	B6	B6	B6	B6	B6	D	B6	D	D	D	B6	B6	B6	U	D	B6	D	D	B6	B6
3	D3Mit62	4.6	D	D	D	B6	D	B6	D	D	D	D	B6	B6	D	D	B6	B6	B6	B6	B6	B6	D	B6	D	D	D	B6	B6	B6	U	D	D	D	D	B6	D
3	D3Mit46	13.8	D	D	B6	B6	D	B6	B6	D	D	D	B6	B6	D	D	B6	B6	B6	B6	B6	B6	D	B6	D	D	D	B6	B6	D	D	D	D	D	D	D	D
3	D3Mit21	19.2	D	D	B6	B6	D	B6	D	D	D	D	D	B6	D	D	B6	D	B6	B6	B6	B6	D	D	B6	D	D	B6	D	D	B6	D	D	D	B6	D	D
3	D3Mit6	23.3	B6	D	B6	B6	D	D	D	D	B6	D	B6	B6	D	D	B6	D	B6	B6	B6	B6	D	D	B6	D	B6	B6	D	D	U	D	D	D	B6	B6	D
3	D3Mit185	29.5	B6	B6	D	B6	D	D	D	D	B6	B6	D	B6	B6	B6	B6	D	D	B6	B6	D	D	D	B6	D	B6	B6	B6	D	D	D	D	D	D	B6	D
3	D3Mit241	31	B6	B6	D	B6	B6	D	D	D	B6	B6	D	B6	B6	B6	B6	D	D	B6	B6	D	B6	D	B6	D	B6	B6	B6	D	D	D	D	D	D	B6	D
3	D3Mit209	33.7	B6	B6	D	B6	B6	B6	D	D	B6	B6	D	B6	B6	B6	B6	D	D	B6	B6	D	B6	D	B6	D	B6	B6	B6	D	D	D	D	D	D	B6	B6
3	D3Mit9	38.3	B6	B6	D	B6	B6	B6	D	B6	B6	B6	D	B6	B6	B6	B6	D	D	B6	B6	D	B6	D	B6	D	B6	B6	U	D	D	D	D	D	D	B6	B6
3	D3Mit49	41	B6	B6	D	B6	B6	B6	D	B6	B6	B6	D	B6	B6	B6	B6	D	D	B6	B6	D	B6	D	B6	D	B6	B6	D	D	D	D	D	D	D	B6	B6
3	D3Mit189	50	B6	B6	B6	B6	D	B6	D	B6	B6	B6	D	B6	B6	B6	B6	D	D	B6	B6	D	B6	D	B6	D	B6	B6	D	D	D	D	D	D	D	B6	B6
3	D3Mit14	65	B6	D	B6	B6	D	B6	D	D	D	B6	B6	B6	D	D	D	D	B6	D	B6	D	B6	D	B6	B6	B6	D	D	D	B6	D	B6	D	B6	B6	B6
3	D3Mit127	70.3	B6	D	B6	B6	D	D	D	D	D	B6	B6	B6	D	D	D	D	B6	B6	B6	D	B6	D	B6	B6	B6	D	D	D	B6	D	B6	D	B6	B6	D
3	D3Mit128	83.5	D	D	B6	B6	B6	D	D	D	D	B6	B6	B6	D	D	D	B6	D	B6	B6	D	D	D	B6	B6	B6	D	D	D	B6	B6	B6	B6	B6	B6	D
3	D3Mit19	87.6	B6	D	B6	D	B6	B6	D	D	D	B6	D	B6	D	B6	D	B6	D	B6	B6	D	B6	D	B6	B6	B6	D	D	D	B6	B6	B6	B6	B6	B6	D
4	D4Mit149	0	B6	B6	B6	B6	B6	D	D	B6	D	B6	D	D	D	D	B6	B6	B6	B6	D	D	B6	B6	B6	D	B6	D	B6	D	D	D	D	D	B6	B6	B6
4	D4Mit101	3.2	B6	B6	B6	B6	B6	B6	D	B6	D	B6	D	B6	D	D	B6	B6	D	B6	B6	D	D	B6	B6	D	B6	D	B6	D	D	D	D	D	B6	B6	B6
4	D4Mit135	5	D	D	B6	D	B6	B6	D	B6	D	B6	B6	B6	B6	D	B6	B6	D	B6	D	D	D	B6	B6	D	B6	D	B6	D	D	D	D	D	D	B6	B6
4	D4Mit171	6	D	B6	B6	D	B6	B6	D	B6	D	B6	B6	B6	B6	D	B6	B6	D	B6	D	D	D	B6	B6	D	B6	D	B6	D	D	D	D	B6	D	B6	B6
4	D4Mit292	6.6	D	B6	B6	B6	B6	B6	D	B6	D	B6	B6	B6	B6	D	B6	D	D	B6	D	D	B6	B6	B6	D	B6	D	B6	D	D	D	D	D	D	B6	D
4	D4Mit237	13.3	D	B6	B6	B6	B6	B6	B6	B6	D	B6	B6	B6	B6	B6	B6	D	D	B6	D	D	B6	B6	B6	D	B6	B6	B6	B6	B6	D	D	D	D	B6	B6
4	D4Mit286	14.5	D	B6	B6	B6	B6	B6	B6	B6	D	B6	B6	B6	B6	B6	B6	D	D	B6	D	D	B6	B6	B6	D	B6	B6	B6	B6	B6	D	D	D	D	B6	B6
4	D4Mit164	29.6	D	B6	B6	B6	B6	B6	B6	B6	D	B6	D	B6	B6	B6	B6	D	D	B6	D	D	B6	B6	B6	B6	B6	B6	B6	B6	B6	D	D	B6	B6	B6	B6
4	D4Mit178	35.5	D	B6	B6	B6	B6	D	B6	B6	D	B6	D	B6	B6	B6	B6	D	B6	B6	D	D	D	B6	B6	D	B6	B6	B6	B6	B6	D	D	B6	B6	B6	B6
4	D4Mit80	37.7	D	B6	B6	B6	B6	D	B6	B6	D	B6	D	B6	B6	B6	B6	D	B6	B6	D	D	D	D	B6	D	B6	B6	B6	B6	B6	D	D	B6	B6	B6	B6
4	D4Mit186	44	D	B6	B6	B6	B6	D	B6	D	D	B6	D	B6	B6	D	B6	D	D	D	D	D	D	D	B6	D	B6	B6	B6	B6	B6	D	D	B6	B6	B6	B6
4	D4Mit303	48.5	D	B6	B6	B6	B6	D	B6	D	D	D	D	B6	D	D	B6	D	D	D	B6	D	D	D	D	D	B6	B6	B6	B6	B6	D	D	B6	B6	D	B6
4	D4Mit146	53.6	D	B6	D	B6	B6	D	B6	D	B6	D	D	D	D	D	B6	D	D	D	B6	D	D	D	D	D	B6	D	D	B6	B6	D	D	B6	B6	D	B6
4	D4Mit12	57.5	D	B6	D	B6	D	D	B6	D	D	D	D	D	D	D	B6	D	B6	D	B6	D	D	D	D	D	B6	D	D	D	B6	D	D	D	B6	D	B6
4	D4Mit147	57.6	D	B6	D	B6	D	D	B6	D	D	D	B6	D	D	D	B6	D	B6	D	B6	D	D	D	D	D	B6	D	D	D	B6	D	D	D	B6	D	B6
4	D4Mit339	62	D	B6	B6	B6	D	B6	B6	D	D	D	D	B6	D	B6	B6	D	B6	D	B6	D	B6	D	B6	D	B6	D	D	D	B6	D	D	D	B6	D	B6
4	D4Mit343	70	D	B6	D	B6	D	B6	B6	D	D	D	D	D	D	B6	B6	D	B6	D	B6	B6	B6	D	B6	D	B6	D	D	D	D	D	D	D	B6	B6	B6
4	D4Mit344	81.7	D	D	D	B6	D	B6	B6	D	D	D	B6	D	D	B6	B6	D	B6	B6	B6	B6	B6	D	B6	D	B6	D	B6	D	D	D	D	B6	B6	B6	D
5	D5Mit193	1	D	D	D	D	B6	D	D	D	B6	B6	B6	D	B6	D	D	B6	D	B6	B6	B6	D	B6	B6	B6	D	D	B6	B6	B6	D	D	D	D	D	D
5	D5Mit1	5	D	D	D	D	B6	D	D	D	B6	B6	B6	D	B6	D	D	B6	B6	B6	B6	B6	D	B6	D	B6	D	D	B6	B6	B6	D	D	D	B6	D	D
5	D5Mit227	7.9	D	D	D	B6	B6	B6	D	D	B6	B6	B6	D	B6	D	D	B6	B6	B6	B6	B6	D	B6	B6	B6	D	D	B6	B6	B6	D	D	D	B6	D	D
5	D5Mit180	10	D	D	D	B6	B6	B6	D	D	B6	B6	B6	D	B6	D	D	B6	D	B6	B6	B6	D	D	B6	B6	D	D	B6	U	B6	D	D	D	B6	D	D
5	D5Mit388	18	B6	D	D	B6	B6	B6	D	B6	B6	B6	B6	D	B6	D	D	B6	D	B6	D	B6	B6	D	B6	D	D	D	B6	D	B6	D	D	B6	B6	B6	D
5	D5Mit79	26	B6	D	D	B6	B6	B6	D	B6	B6	B6	B6	D	B6	D	D	D	D	B6	D	B6	D	D	B6	D	D	D	B6	D	B6	D	D	B6	B6	B6	B6
5	D5Mit233	29.1	B6	D	D	B6	B6	B6	B6	B6	B6	B6	B6	D	B6	D	D	D	D	B6	D	B6	B6	D	B6	D	D	D	B6	D	B6	D	D	B6	B6	B6	B6
5	D5Mit197	36	B6	D	D	B6	B6	D	B6	D	B6	B6	B6	D	B6	D	D	D	D	D	D	B6	B6	D	B6	D	D	D	B6	D	B6	D	D	B6	D	B6	D
5	D5Mit201	42	B6	D	D	B6	B6	D	B6	D	B6	D	B6	D	B6	D	D	D	D	D	D	B6	B6	D	D	D	D	D	B6	D	B6	B6	D	B6	D	B6	D
5	D5Mit309	44	B6	D	D	B6	B6	D	B6	D	B6	D	B6	D	B6	D	D	D	D	B6	D	B6	D	B6	D	D	D	D	B6	D	B6	D	D	B6	D	B6	D
5	D5Mit312	50	D	D	D	B6	B6	B6	B6	D	B6	D	B6	D	B6	B6	B6	D	D	B6	D	B6	B6	B6	D	D	D	D	B6	B6	B6	D	D	D	D	B6	D
5	D5Mit403	57	B6	D	D	B6	B6	B6	D	D	B6	D	B6	D	D	B6	B6	D	D	B6	D	B6	B6	B6	D	D	B6	D	D	B6	B6	D	D	D	D	B6	B6
5	D5Mit25	59.8	B6	D	D	D	D	B6	D	D	B6	B6	B6	D	D	B6	B6	D	D	B6	D	B6	B6	B6	D	D	B6	D	D	U	B6	D	U	D	D	B6	B6
5	D5Mit188	64	B6	D	D	B6	D	B6	D	D	B6	B6	B6	D	D	B6	B6	D	D	B6	D	B6	B6	B6	B6	D	B6	D	D	D	B6	D	B6	D	D	B6	B6
5	D5Mit372	73	B6	B6	D	B6	D	B6	D	D	D	B6	B6	D	B6	D	D	D	D	B6	D	D	B6	B6	B6	D	B6	D	B6	B6	B6	B6	B6	B6	D	D	D
5	D5Mit409	89	B6	D	D	D	D	D	D	D	D	D	B6	D	B6	D	D	B6	B6	D	D	B6	B6	B6	B6	D	B6	D	D	B6	D	B6	D	B6	D	D	D
6	D6Mit86	0.5	B6	B6	B6	D	D	D	D	D	D	D	B6	B6	D	B6	B6	B6	D	D	B6	B6	D	D	B6	B6	B6	B6	D	D	B6	B6	B6	B6	B6	B6	D
6	D6Mit264	3.2	B6	B6	B6	D	D	D	D	D	D	D	B6	D	D	B6	B6	B6	D	D	D	B6	B6	D	B6	D	B6	D	D	D	B6	B6	B6	B6	B6	D	D
6	D6Mit50	3.3	B6	B6	B6	D	D	D	D	D	D	D	B6	D	D	B6	B6	B6	D	D	D	B6	D	D	B6	D	B6	D	D	D	B6	B6	B6	B6	B6	D	D
6	D6Mit116	6	B6	B6	B6	D	D	D	D	D	D	D	B6	D	B6	D	B6	B6	D	D	B6	B6	D	D	B6	D	B6	D	D	B6	B6	B6	B6	D	B6	D	D
6	D6Mit268	15.5	B6	B6	B6	D	D	D	D	D	D	D	B6	B6	B6	D	B6	D	D	D	D	B6	D	B6	B6	D	B6	D	B6	B6	B6	B6	B6	B6	B6	D	D
6	D6Mit207	19	B6	B6	B6	D	D	B6	D	D	D	D	B6	B6	B6	D	B6	D	D	B6	B6	D	D	D	B6	D	B6	B6	B6	B6	B6	B6	B6	B6	B6	D	D
6	D6Mit384	28	B6	B6	D	D	B6	B6	D	B6	D	B6	B6	B6	B6	D	B6	D	D	B6	B6	D	D	D	B6	B6	B6	B6	B6	B6	B6	U	D	B6	B6	B6	D
6	D6Mit175	29.9	D	B6	D	D	D	B6	D	B6	D	B6	B6	B6	B6	D	B6	D	D	B6	B6	D	D	B6	B6	B6	B6	B6	B6	B6	B6	D	D	B6	B6	B6	D
6	D6Mit188	32.5	D	B6	D	D	D	B6	D	B6	D	B6	B6	B6	B6	D	B6	D	D	B6	D	D	D	B6	B6	B6	B6	B6	B6	B6	B6	D	D	B6	B6	B6	D
6	D6Mit323	36.5	D	B6	D	B6	D	D	D	B6	D	B6	B6	B6	B6	D	B6	D	D	B6	D	B6	D	B6	B6	B6	B6	B6	D	D	B6	D	D	B6	B6	B6	D
6	D6Mit67	41.5	D	B6	D	B6	B6	D	D	B6	D	B6	D	B6	B6	D	B6	D	D	B6	D	B6	D	B6	D	B6	B6	B6	B6	D	B6	B6	D	B6	B6	D	B6
6	D6Mit39	45.5	D	D	D	B6	B6	B6	B6	B6	D	B6	D	B6	B6	D	B6	B6	B6	B6	D	D	D	B6	B6	B6	B6	B6	B6	B6	B6	B6	D	B6	B6	D	B6
6	D6Mit150	51	D	B6	D	B6	B6	D	D	B6	D	B6	D	B6	B6	D	B6	B6	B6	B6	D	D	B6	B6	D	B6	B6	B6	B6	B6	B6	D	D	D	B6	D	B6
6	D6Mit61	62	D	B6	D	B6	B6	D	D	B6	D	B6	D	B6	B6	D	B6	B6	B6	B6	D	D	B6	B6	D	B6	B6	D	B6	B6	B6	D	D	B6	D	D	B6
6	D6Mit339	65	D	B6	D	B6	B6	D	D	B6	D	B6	D	B6	D	D	B6	B6	B6	B6	D	D	B6	B6	D	B6	D	D	B6	D	B6	D	D	B6	D	D	B6
6	D6Mit201	74.1	D	B6	D	B6	D	D	B6	B6	D	B6	D	B6	D	D	B6	B6	B6	D	B6	D	D	B6	D	B6	D	B6	B6	D	D	D	D	D	D	D	B6
7	D7Mit340	1	D	D	B6	D	B6	B6	B6	B6	B6	D	B6	B6	B6	B6	B6	B6	B6	B6	B6	B6	B6	B6	B6	B6	D	D	B6	B6	B6	D	B6	B6	D	D	D
7	D7Mit57	6	B6	D	B6	D	B6	B6	B6	B6	B6	D	B6	B6	B6	B6	B6	B6	B6	B6	B6	B6	B6	D	B6	B6	D	D	B6	B6	D	D	B6	D	B6	B6	D
7	D7Mit117	8.2	B6	D	B6	D	B6	B6	B6	B6	B6	D	B6	B6	B6	B6	B6	B6	B6	B6	B6	B6	B6	B6	B6	B6	D	D	B6	B6	D	D	B6	D	B6	B6	B6
7	D7Mit246	12.1	B6	D	B6	D	B6	B6	B6	D	B6	D	B6	B6	B6	B6	B6	B6	B6	B6	B6	B6	B6	B6	B6	B6	D	D	B6	B6	D	D	B6	D	B6	B6	B6
7	D7Mit270	18	B6	D	B6	D	B6	B6	B6	D	B6	D	D	B6	B6	B6	B6	B6	D	D	B6	D	B6	D	D	B6	D	D	D	B6	B6	D	B6	D	B6	B6	B6
